GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G10908072,S224029371,GJ-KU-MAN-037
G10908073,S224029380,GJ-KU-MAN-027
G10908071,S224029385,GJ-KU-ABD-093
G10908070,S224029391,GJ-KU-ABD-083
G10908069,S224029394,GJ-KU-MAN-018
G15589327,S275006309,GJ-KU-MAN-011
G15606342,S275006360,GJ-KU-RAN-478
G15611448,S275006403,GJ-KU-LAK-055
G15608288,S275006466,GJ-KU-BHU-053
G15608289,S275006510,GJ-KU-BHU-055
G15605794,S275006546,GJ-KU-MUN-023
G15601388,S275006700,GJ-KU-BHU-088
G15605148,S275006724,GJ-KU-LIT-023
G15604472,S275006882,GJ-KU-ABD-021
G15600975,S275006886,GJ-KU-BHU-024
G15600978,S275006895,GJ-KU-BHU-025
G15600979,S275006936,GJ-KU-BHU-027
G15605782,S275007035,GJ-KU-NAK-057
G15600239,S275007048,GJ-KU-NAK-060
G15599743,S275007145,GJ-KU-BHA-032
G15599742,S275007185,GJ-KU-BHA-026
G15604758,S275007241,GJ-KU-MAN-013
G15598707,S275007300,GJ-KU-BHU-102
G15598659,S275007377,GJ-KU-BHU-076
G15598649,S275007393,GJ-KU-BHU-086
G15598583,S275007450,GJ-KU-ABD-027
G15598501,S275007478,GJ-KU-LIT-042
G15598474,S275008072,GJ-KU-BHU-097
G15598475,S275008087,GJ-KU-BHU-111
G15598565,S275008193,GJ-KU-RAP-064
G15598476,S275008212,GJ-KU-BHU-122
G15598477,S275008218,GJ-KU-BHU-109
G15598478,S275008234,GJ-KU-BHU-120
G15599537,S275008272,GJ-KU-MAN-027
G15598432,S275008300,GJ-KU-ABD-019
G15611771,S275008437,GJ-KU-RAP-060
G15611772,S275008470,GJ-KU-BHA-014
G15598374,S275008512,GJ-KU-MUN-026
G15598375,S275008566,GJ-KU-MUN-003
G15598376,S275008581,GJ-KU-MUN-009
G15598377,S275008622,GJ-KU-MUN-011
G15598319,S275008672,GJ-KU-NAK-030
G15598320,S275008703,GJ-KU-NAK-016
G15605910,S275008734,GJ-KU-LAK-022
G15605911,S275008759,GJ-KU-LAK-024
G15605915,S275008810,GJ-KU-LAK-007
G15605914,S275008836,GJ-KU-LAK-005
G15598207,S275008887,GJ-KU-NAK-048
G15598085,S275008940,GJ-KU-NAK-036
G15598099,S275008976,GJ-KU-NAK-038
G15596673,S275008992,GJ-KU-NAK-027
G15596641,S275009056,GJ-KU-NAK-040
G15596555,S275009068,GJ-KU-LIT-039
G15598162,S275009092,GJ-KU-ANJ-021
G15598059,S275009138,GJ-KU-BHU-012
G15598120,S275009173,GJ-KU-ABD-095
G15606212,S275009394,GJ-KU-BHA-063
G15598070,S275009452,GJ-KU-ABD-051
G15597874,S275009534,GJ-KU-LAK-075
G15597875,S275009581,GJ-KU-LAK-070
G15597745,S275009714,GJ-KU-BHU-013
G15597937,S275009768,GJ-KU-BHU-030
G15597741,S275009780,GJ-KU-RAN-505
G15600369,S275009814,GJ-KU-ABD-025
G15597664,S275009936,GJ-KU-MAN-048
G15597688,S275009951,GJ-KU-GAN-001
G15598096,S275010004,GJ-KU-BHU-003
G15597563,S275010049,GJ-KU-GAN-004
G15598097,S275010064,GJ-KU-BHU-006
G15599485,S275010119,GJ-KU-ABD-044
G15597515,S275010230,GJ-KU-LAK-015
G15597509,S275010256,GJ-KU-LAK-026
G15597510,S275010270,GJ-KU-LAK-027
G15611790,S275010312,GJ-KU-RAP-082
G15597512,S275010367,GJ-KU-LAK-039
G15597446,S275010418,GJ-KU-LAK-074
G15597544,S275010447,GJ-KU-ABD-001
G15597550,S275010479,GJ-KU-RAP-016
G15597685,S275010520,GJ-KU-RAP-089
G15597321,S275010537,GJ-KU-ANJ-039
G15597665,S275010562,GJ-KU-MAN-024
G15597287,S275010597,GJ-KU-MAN-042
